Method,min lambda,min jtlide_lambda,dataset,size,trial
nx,-0.002873,-0.25714,1,500,1
nx,-0.00089042,-0.25195,2,500,1
nx,-0.0029656,-0.20551,3,500,1
nx,-0.0019056,-0.21672,4,500,1
nx,-0.0084592,-0.2265,5,500,1
nx,-0.00085765,-0.2503,6,500,1
nx,-0.0022313,-0.23663,7,500,1
nx,-0.00033405,-0.24234,8,500,1
nx,-0.0040506,-0.21743,9,500,1
nx,-0.0042499,-0.23861,10,500,1
nx,-0.00044632,-0.23039,1,500,2
nx,-0.0028002,-0.21616,2,500,2
nx,-0.0031308,-0.23029,3,500,2
nx,-0.001312,-0.25799,4,500,2
nx,-0.0040561,-0.25615,5,500,2
nx,-0.0050347,-0.17404,6,500,2
nx,-0.0022922,-0.25326,7,500,2
nx,-0.0034054,-0.19675,8,500,2
nx,-0.0068651,-0.21836,9,500,2
nx,-0.00046709,-0.25361,10,500,2
nx,-0.002674,-0.19475,1,500,3
nx,-0.0036714,-0.20187,2,500,3
nx,-0.00036404,-0.20023,3,500,3
nx,-0.0056344,-0.21802,4,500,3
nx,-0.0089415,-0.23943,5,500,3
nx,-0.0003813,-0.25723,6,500,3
nx,-0.0037002,-0.28143,7,500,3
nx,-0.0010425,-0.21128,8,500,3
nx,-0.0036162,-0.20335,9,500,3
nx,-0.0013189,-0.2558,10,500,3
nx,-0.0011671,-0.24575,1,500,4
nx,-0.0030714,-0.23385,2,500,4
nx,-0.0005699,-0.21134,3,500,4
nx,-0.0010169,-0.2144,4,500,4
nx,-0.0017698,-0.29047,5,500,4
nx,-0.0057453,-0.24633,6,500,4
nx,-0.00028322,-0.34709,7,500,4
nx,-0.00032607,-0.27178,8,500,4
nx,-0.0010377,-0.25147,9,500,4
nx,-0.0027274,-0.29407,10,500,4
nx,-0.0036559,-0.21982,1,500,5
nx,-0.0045465,-0.21121,2,500,5
nx,-0.0015995,-0.22234,3,500,5
nx,-0.0065463,-0.18997,4,500,5
nx,-0.010285,-0.23648,5,500,5
nx,-0.0012778,-0.26804,6,500,5
nx,-0.0014186,-0.20636,7,500,5
nx,-0.0029321,-0.32715,8,500,5
nx,-0.00015706,-0.24014,9,500,5
nx,-0.0072608,-0.20606,10,500,5
nx,-0.0015155,-0.22233,1,500,6
nx,-0.0028952,-0.24792,2,500,6
nx,-0.0049606,-0.22706,3,500,6
nx,-0.0029213,-0.23758,4,500,6
nx,-0.00090181,-0.22012,5,500,6
nx,-0.0028864,-0.24195,6,500,6
nx,-0.0030732,-0.2623,7,500,6
nx,-0.0027506,-0.25558,8,500,6
nx,-0.001372,-0.26171,9,500,6
nx,-0.0060456,-0.26149,10,500,6
nx,-0.0046706,-0.21766,1,500,7
nx,-0.00029244,-0.28412,2,500,7
nx,-0.0018157,-0.21283,3,500,7
nx,-0.0078632,-0.21227,4,500,7
nx,-0.00020198,-0.23888,5,500,7
nx,-0.0007003,-0.28787,6,500,7
nx,-0.0021898,-0.25371,7,500,7
nx,-0.0017509,-0.21933,8,500,7
nx,-0.00061109,-0.25075,9,500,7
nx,-0.0052862,-0.24334,10,500,7
nx,-0.00058515,-0.21546,1,500,8
nx,-0.0031631,-0.19613,2,500,8
nx,-0.00012603,-0.23755,3,500,8
nx,-0.0042153,-0.26682,4,500,8
nx,-0.00026297,-0.33397,5,500,8
nx,-0.0012724,-0.26698,6,500,8
nx,-0.0044861,-0.26991,7,500,8
nx,-0.0042141,-0.31274,8,500,8
nx,-0.0023873,-0.23145,9,500,8
nx,-0.0011989,-0.1922,10,500,8
nx,-0.0013245,-0.2425,1,500,9
nx,-0.0020563,-0.23875,2,500,9
nx,-0.0014551,-0.27651,3,500,9
nx,-0.0020087,-0.21797,4,500,9
nx,-1.3095E-05,-0.24257,5,500,9
nx,-1.3262E-06,-0.38317,6,500,9
nx,-0.0022061,-0.27803,7,500,9
nx,-0.0028694,-0.25001,8,500,9
nx,-0.0040749,-0.24009,9,500,9
nx,-4.4038E-05,-0.24286,10,500,9
nx,-0.0034065,-0.21185,1,500,10
nx,-0.00086571,-0.21881,2,500,10
nx,-0.0029636,-0.21199,3,500,10
nx,-0.0012004,-0.19954,4,500,10
nx,-0.003634,-0.21986,5,500,10
nx,-0.0040958,-0.2594,6,500,10
nx,-0.00021454,-0.24682,7,500,10
